iter	Passed	Remaining
0	2	1298
1	4	1178
2	7	1188
3	10	1276
4	12	1211
5	14	1153
6	15	1113
7	17	1086
8	19	1062
9	21	1060
10	23	1066
11	26	1064
12	28	1049
13	29	1035
14	31	1023
15	33	1013
16	35	1009
17	37	1004
18	39	1000
19	41	997
20	43	989
21	45	983
22	47	976
23	48	969
24	50	963
25	52	960
26	54	956
27	56	951
28	58	949
29	60	944
30	62	940
31	63	934
32	65	929
33	66	917
34	68	913
35	70	909
36	72	906
37	74	902
38	76	899
39	77	895
40	79	894
41	81	890
42	83	888
43	85	884
44	87	881
45	88	878
46	90	875
47	92	872
48	94	869
49	96	868
50	98	865
51	100	864
52	102	863
53	104	860
54	105	857
55	107	854
56	109	851
57	111	848
58	113	845
59	115	843
60	116	840
61	118	838
62	120	835
63	122	833
64	124	831
65	126	829
66	127	827
67	129	824
68	131	821
69	133	819
70	135	817
71	137	815
72	139	813
73	140	811
74	142	809
75	144	806
76	146	804
77	148	802
78	150	800
79	152	798
80	153	795
81	155	793
82	157	791
83	159	789
84	161	787
85	163	785
86	164	783
87	166	780
88	168	779
89	170	776
90	172	775
91	174	773
92	176	770
93	177	768
94	179	766
95	181	764
96	183	762
97	185	760
98	187	758
99	189	757
100	191	756
101	193	755
102	195	754
103	197	753
104	199	750
105	201	749
106	203	748
107	205	746
108	209	751
109	211	751
110	213	749
111	215	748
112	218	746
113	220	745
114	222	743
115	224	741
116	225	739
117	227	737
118	229	735
119	231	733
120	233	731
121	235	728
122	237	726
123	239	724
124	240	722
125	242	720
126	244	718
127	246	716
128	248	714
129	250	712
130	252	710
131	253	708
132	255	706
133	257	704
134	259	702
135	261	700
136	263	698
137	265	696
138	267	694
139	269	692
140	271	690
141	272	687
142	274	685
143	276	683
144	278	682
145	280	679
146	282	677
147	284	675
148	285	673
149	287	671
150	289	669
151	291	667
152	293	665
153	295	664
154	297	662
155	299	659
156	301	658
157	303	657
158	305	656
159	307	654
160	309	652
161	311	650
162	313	648
163	315	647
164	317	645
165	319	643
166	321	641
167	323	639
168	325	637
169	327	635
170	329	633
171	331	632
172	333	630
173	335	628
174	337	626
175	339	624
176	341	622
177	343	621
178	345	618
179	346	616
180	348	614
181	350	612
182	352	610
183	354	608
184	356	606
185	357	604
186	359	602
187	361	600
188	363	598
189	365	596
190	367	594
191	369	592
192	371	590
193	373	588
194	374	586
195	376	584
196	378	582
197	380	580
198	382	578
199	384	576
200	385	574
201	387	572
202	389	570
203	391	568
204	393	566
205	395	564
206	397	562
207	399	560
208	400	558
209	402	556
210	404	554
211	406	552
212	408	550
213	410	548
214	412	546
215	414	544
216	415	542
217	417	540
218	419	538
219	421	536
220	423	534
221	425	532
222	426	530
223	428	528
224	430	526
225	432	524
226	434	522
227	436	520
228	438	518
229	440	516
230	441	514
231	443	512
232	445	510
233	447	508
234	449	506
235	450	504
236	452	502
237	454	500
238	456	498
239	458	496
240	460	494
241	462	492
242	464	490
243	466	489
244	468	487
245	472	487
246	474	486
247	477	485
248	479	483
249	481	481
250	483	479
251	485	477
252	487	476
253	490	475
254	492	473
255	494	471
256	496	469
257	498	467
258	500	465
259	501	463
260	504	461
261	506	460
262	508	458
263	510	456
264	512	454
265	514	452
266	515	450
267	517	448
268	520	447
269	522	445
270	524	443
271	526	441
272	528	439
273	530	437
274	532	435
275	534	433
276	537	432
277	539	430
278	541	428
279	543	426
280	545	424
281	546	422
282	548	420
283	550	418
284	553	417
285	555	415
286	557	413
287	558	411
288	560	409
289	562	407
290	564	405
291	566	403
292	569	402
293	571	400
294	574	398
295	576	397
296	578	395
297	580	393
298	582	391
299	585	390
300	587	388
301	589	386
302	591	384
303	593	382
304	595	380
305	597	378
306	599	376
307	602	375
308	604	373
309	606	371
310	608	369
311	610	367
312	612	365
313	614	363
314	616	362
315	618	360
316	620	358
317	622	356
318	624	354
319	626	352
320	628	350
321	631	348
322	634	347
323	636	345
324	638	343
325	640	341
326	642	339
327	644	337
328	645	335
329	647	333
330	650	331
331	651	329
332	653	327
333	655	325
334	657	323
335	659	321
336	661	319
337	663	317
338	666	316
339	667	314
340	669	312
341	671	310
342	673	308
343	675	306
344	677	304
345	679	302
346	681	300
347	683	298
348	685	296
349	687	294
350	688	292
351	690	290
352	692	288
353	694	286
354	697	284
355	699	282
356	701	280
357	703	278
358	705	276
359	706	274
360	709	273
361	711	271
362	714	269
363	716	267
364	718	265
365	719	263
366	721	261
367	724	259
368	726	257
369	728	256
370	731	254
371	733	252
372	735	250
373	736	248
374	738	246
375	740	244
376	743	242
377	746	240
378	748	238
379	749	236
380	751	234
381	753	232
382	755	230
383	757	228
384	760	227
385	763	225
386	765	223
387	767	221
388	769	219
389	771	217
390	773	215
391	775	213
392	778	211
393	779	209
394	781	207
395	783	205
396	785	203
397	787	201
398	789	199
399	791	197
400	793	195
401	795	193
402	798	192
403	800	190
404	801	188
405	803	186
406	805	184
407	807	182
408	810	180
409	812	178
410	813	176
411	815	174
412	817	172
413	819	170
414	821	168
415	823	166
416	825	164
417	827	162
418	829	160
419	831	158
420	833	156
421	835	154
422	836	152
423	838	150
424	841	148
425	843	146
426	845	144
427	847	142
428	848	140
429	850	138
430	852	136
431	854	134
432	857	132
433	860	130
434	862	128
435	864	126
436	866	124
437	868	122
438	870	120
439	872	119
440	874	117
441	876	115
442	878	113
443	880	111
444	882	109
445	884	107
446	885	105
447	888	103
448	890	101
449	892	99
450	894	97
451	896	95
452	898	93
453	899	91
454	901	89
455	903	87
456	906	85
457	908	83
458	909	81
459	911	79
460	913	77
461	915	75
462	917	73
463	920	71
464	923	69
465	926	67
