author,timestamp,tweet_text
Michael Saylor@saylor·9 déc. 2024,2024-12-09T18:54:59.000Z,#Bitcoin is Digital Gold
Michael Saylor@saylor·9 déc. 2024,2024-12-09T16:11:29.000Z,Satoshi gave us a game we can all win. #Bitcoin
Michael Saylor@saylor·9 déc. 2024,2024-12-09T13:04:39.000Z,"MicroStrategy has acquired 21,550 BTC for ~$2.1 billion at ~$98,783 per #bitcoin and has achieved BTC Yield of 43.2% QTD and 68.7% YTD. As of 12/8/2024, we hodl 423,650 $BTC acquired for ~$25.6 billion at ~$60,324 per bitcoin. $MSTR"
Michael Saylor@saylor·9 déc. 2024,2024-12-09T12:08:00.000Z,$RIOT is a company on the #Bitcoin Standard.
Michael Saylor@saylor·8 déc. 2024,2024-12-08T17:34:43.000Z,"I don't believe in 2% solutions, so I asked Anthony @Scaramucci to upgrade ""The Little Book of #Bitcoin""."
Michael Saylor@saylor·8 déc. 2024,2024-12-08T13:01:38.000Z,Still too much blue on http://SaylorTracker.com.
Michael Saylor@saylor·7 déc. 2024,2024-12-07T19:09:02.000Z,The United States should buy #Bitcoin and sell Gold.
Michael Saylor@saylor·7 déc. 2024,2024-12-07T16:35:19.000Z,Congratulations David. There is no one better suited for this role than you. The future of Crypto and A.I. in the United States is looking much brighter.
Michael Saylor@saylor·7 déc. 2024,2024-12-07T13:32:53.000Z,#Bitcoin is the Next Wave
Michael Saylor@saylor·6 déc. 2024,2024-12-06T20:29:06.000Z,"The perils of diversification, the evolution of $MSTR, the physics of financial engineering, bridging the crypto economy with the capital markets, the opportunity for the US to own the world's reserve capital network, and the inevitable demonetization of gold with @GuyAdami."
Michael Saylor@saylor·6 déc. 2024,2024-12-06T18:59:29.000Z,#Bitcoin expands your horizons. 
Michael Saylor@saylor·6 déc. 2024,2024-12-06T13:17:02.000Z,One Nakamoto is a #Bitcoin Superpower.
Michael Saylor@saylor·6 déc. 2024,2024-12-06T00:41:04.000Z,"On $BTC 100K Day, my discussion with @JulesHyman covered advice to @stoolpresidente, cyber-manhattan, the need for a digital assets framework, the emergence of #Bitcoin as the world reserve capital network, and the logic of a US Strategic #Bitcoin Reserve."
Michael Saylor@saylor·5 déc. 2024,2024-12-05T15:46:26.000Z,Du verkaufst dein #Bitcoin nicht.
Michael Saylor@saylor·5 déc. 2024,2024-12-05T15:36:24.000Z,"You can still buy #bitcoin for less than $1 million per coin, Dave."
Michael Saylor@saylor·5 déc. 2024,2024-12-05T14:16:41.000Z,"Year to date, $MSTR treasury operations delivered a BTC Yield of 63.3%, a net benefit of ~119,800 BTC to our shareholders. At $103K per BTC, that equates to $12.3 billion for the year so far, making us the most profitable, fastest growing company on the #Bitcoin Standard."
Michael Saylor@saylor·5 déc. 2024,2024-12-05T13:45:36.000Z,We have a #Bitcoin President.
Michael Saylor@saylor·5 déc. 2024,2024-12-05T13:41:56.000Z,
Michael Saylor@saylor·5 déc. 2024,2024-12-05T13:33:29.000Z,$SMLR is a company on the #Bitcoin Standard.
Michael Saylor@saylor·5 déc. 2024,2024-12-05T11:32:52.000Z,Keep Your Promises #Bitcoin
