author,timestamp,tweet_text
Michael Saylor@saylor·4 déc. 2024,2024-12-04T20:39:49.000Z,"I journeyed into the @FoxBusiness studios to discuss digital capital, the growth of the #Bitcoin asset class, the promise of Bitcoin as a protocol for prosperity, and the emergence of Bitcoin as the world's reserve capital network offering global property rights, with @cvpayne."
Michael Saylor@saylor·4 déc. 2024,2024-12-04T13:02:48.000Z,"In November, $MSTR raised $13.5 billion and acquired 149,880 BTC for ~$90,231 with a BTC Yield of 38.7%, providing a net benefit of 97,500 BTC to our shareholders, or 3250 BTC per day. At ~$96K per BTC, that would equate to ~$9.4 billion for the month, or $312 million per day."
Michael Saylor@saylor·3 déc. 2024,2024-12-03T21:35:51.000Z,The Deal of the Century is Trump Max #Bitcoin
Michael Saylor@saylor·3 déc. 2024,2024-12-03T14:13:32.000Z,"My discussion of the economic benefits of Bitcoin scarcity & volatility, $MSTR treasury operations, the surge in corporations adopting $BTC strategies, and the opportunity that #Bitcoin represents to $MSFT shareholders, with @JoeSquawk and @BeckyQuick."
Michael Saylor@saylor·3 déc. 2024,2024-12-03T12:46:43.000Z,"Last week, $MSTR's treasury operations delivered a BTC Yield of 2.55%, providing a net benefit of ~9,850 BTC to our shareholders, or ~1407 BTC per day. At $95K per BTC, that would equate to $936 million for the week, or $134 million each day."
Michael Saylor@saylor·3 déc. 2024,2024-12-03T02:18:08.000Z,$MARA has upsized its bond to $850m + $150m option.
Michael Saylor@saylor·2 déc. 2024,2024-12-02T18:05:47.000Z,"""It's just a matter of time."" - @fundstrat on #Bitcoin "
Michael Saylor@saylor·2 déc. 2024,2024-12-02T13:04:16.000Z,"MicroStrategy has acquired 15,400 BTC for ~$1.5 billion at ~$95,976 per #bitcoin and has achieved BTC Yield of 38.7% QTD and 63.3% YTD. As of 12/2/2024, we hodl 402,100 $BTC acquired for ~$23.4 billion at ~$58,263 per bitcoin. $MSTR"
Michael Saylor@saylor·2 déc. 2024,2024-12-02T12:47:38.000Z,The only thing better than bitcoin is more #bitcoin.
Michael Saylor@saylor·2 déc. 2024,2024-12-02T11:53:20.000Z,$MARA is a company on the #Bitcoin Standard.
Michael Saylor@saylor·2 déc. 2024,2024-12-02T00:03:23.000Z,Congratulations on your nomination to lead the @FBI.
Michael Saylor@saylor·1 déc. 2024,2024-12-01T22:13:44.000Z,Microsoft Bitcoin Strategy on YouTube
Michael Saylor@saylor·1 déc. 2024,2024-12-01T20:47:49.000Z,The slides for the Microsoft Bitcoin Strategy presentation to the $MSFT Board of Directors.
Michael Saylor@saylor·1 déc. 2024,2024-12-01T20:46:18.000Z,"My 3-minute presentation to the $MSFT Board of Directors and @SatyaNadella, articulating why the company should do the right thing and adopt #Bitcoin."
Michael Saylor@saylor·1 déc. 2024,2024-12-01T15:19:30.000Z,No one does.
Michael Saylor@saylor·1 déc. 2024,2024-12-01T13:01:10.000Z,A possible blue-green imbalance on http://SaylorTracker.com?
Michael Saylor@saylor·1 déc. 2024,2024-12-01T11:52:47.000Z,I want one.
