author,timestamp,tweet_text
CoinDesk@CoinDesk·20h,2025-01-03T21:25:00.000Z,"Happy 16th Birthday  to Bitcoin! 
Maybe we need to let Satoshi simply be the mystery behind the movement  ?"
CoinDesk@CoinDesk·21h,2025-01-03T19:54:29.000Z," @spx6900 sets record highs;
 BlackRock’s IBIT bled over $332M;
 Do Kwon pleads not guilty following extradition to the U.S.

@JennSanasie presents ""CoinDesk Daily"" 
https://youtu.be/rQPeYYWm2i4"
CoinDesk@CoinDesk·22h,2025-01-03T19:05:48.000Z,"Generating sufficient liquidity is now critical to Hong Kong becoming a crypto powerhouse, says @edithyeung, a venture capitalist and speaker at #ConsensusHK.

@NelWang reports"
CoinDesk@CoinDesk·3 janv.,2025-01-03T15:48:18.000Z,"EXCLUSIVE: Chinese lender Cango bought 50 EH/s worth of mining power at the tail end of 2024, making it one of the biggest bitcoin miners in the world. 

@tom_carreras reports on the rise of a previously little known player in bitcoin mining."
CoinDesk Indices@CoinDeskMarkets·3 janv.,2025-01-03T14:44:06.000Z,"The CoinDesk 20 is currently trading at 3594.2, up 1.8% (+64.6) since 4 p.m. ET on Thursday. 19 of 20 assets are trading higher.

Leaders: $ADA (+12.0%) and $ICP (+10.6%).

Laggards: $BTC (-1.0%) and $ETH (+0.6%)."
CoinDesk@CoinDesk·3 janv.,2025-01-03T13:17:49.000Z,"Crypto cult @SPX6900's hopes to flip the entire U.S. stock market just moved closer to its bizarre goal, although with trillions of dollars more to go. By @shauryamalwa"
CoinDesk@CoinDesk·3 janv.,2025-01-03T12:16:52.000Z,"$BTC buyers in 2024 enjoyed an average 40% gain on paper, a measure known as the realized price shows. By @btcjvs"
CoinDesk@CoinDesk·3 janv.,2025-01-03T11:15:05.000Z,"While bitcoin grabs all the eyeballs from institutional narratives, Ethereum's ether stands out as the go-to major token for traders looking to maximize returns through leverage. By @godbole17."
CoinDesk@CoinDesk·3 janv.,2025-01-03T11:08:14.000Z,"Do Kwon, founder of the failed Terra Luna crypto ecosystem, pleaded not guilty to charges of fraud following his extradition to the U.S. last week. By @JamieCrawleyCD"
CoinDesk@CoinDesk·3 janv.,2025-01-03T10:46:22.000Z,"Bitcoin's computing power is likely to increase some 30% by 2027,  driving up miners' costs a year before the next halving cuts their revenue, @btcjvs reports."
CoinDesk@CoinDesk·3 janv.,2025-01-03T09:11:57.000Z,"Cardano’s $ADA jumped 12% in the past 24 hours to lead gains among crypto majors, with rangebound trading in bitcoin (BTC) influencing the broader market. By @shauryamalwa"
CoinDesk@CoinDesk·3 janv.,2025-01-03T08:45:31.000Z,$BTC carved out a shooting star candle in December in a sign of sellers looking to reassert themselves. Does it mean the end of the bull run? Find out in a report by @godbole17.
CoinDesk@CoinDesk·3 janv.,2025-01-03T06:44:08.000Z,"BlackRock's $IBIT, the largest spot BTC ETF, recorded its highest outflows on Thursday, nearly one year after going live. by @shauryamalwa"
